title,body,labels,milestone,status
FR1 - Diario emocional,"El sistema permitirá registrar entradas de diario emocional en texto libre, con guardado, edición y consulta por fecha. Debe almacenar la hora/fecha y ofrecer borrador autosalvado.",Functional; Must; FR1,MVP-Inner-Light,Ready
FR2 - Análisis de sentimientos,"Analiza cada entrada del diario para clasificar sentimiento (positivo/negativo/neutro) y tono básico (ej. calma, ansiedad). Muestra etiqueta junto a la entrada y guarda el resultado.",Functional; Must; FR2; AI,MVP-Inner-Light,Ready
FR3 - Meditaciones guiadas simples,Ofrece un set mínimo (>=6) de meditaciones guiadas (audio/texto) y sugiere una según el estado emocional detectado. Debe permitir reproducir/pausar y registrar finalización.,Functional; Must; FR3,MVP-Inner-Light,Backlog
FR4 - Comunidad anónima básica,"Muro anónimo para compartir reflexiones (solo texto). Debe ocultar identidad, permitir publicar y ver últimas 50 publicaciones. Reporte manual de contenido.",Functional; Must; FR4; Community,MVP-Inner-Light,Backlog
FR5 - Chat mentor IA 24/7 (limitado),"Chat de IA con respuestas empáticas de bajo costo (limitado a intents predefinidos: ánimo, respiración, gratitud). Puede recomendar meditaciones y diarios.",Functional; Must; FR5; AI,MVP-Inner-Light,In progress
FR6 - Recordatorios personalizados,"Planificador de recordatorios (hora/frecuencia) para hábitos: escribir diario, meditar, gratitud. Permite activar/desactivar.",Functional; Should; FR6; Habits,MVP-Inner-Light,Backlog
FR7 - Emparejamiento con mentores pares,"Matching básico: usuarios con más avance pueden ser sugeridos a quien viva procesos similares (opt-in, anónimo, mensajería mínima).",Functional; Should; FR7; Community,MVP-Inner-Light,Backlog
FR8 - Mapa visual del progreso,Gráfico temporal (semanal/mensual) con tendencia de estados emocionales y conteo de sesiones completadas.,Functional; Could; FR8; Analytics,MVP-Inner-Light,Backlog
FR9 - Música o sonidos terapéuticos,Sugerencia de pistas/ruidos blancos/campanas según estado emocional. Reproductor simple con lista curada.,Functional; Could; FR9; Audio,MVP-Inner-Light,Backlog
FR10 - Personalización del estilo IA,"Permite elegir estilo del mentor (práctico, compasivo, filosófico) que ajusta tono y longitud de respuesta.",Functional; Could; FR10; Personalization,MVP-Inner-Light,Backlog
FR11 - Moderación automática avanzada,Clasificador de toxicidad y autolesión en tiempo real con revisión automática. Queda fuera del MVP.,Functional; Won't; FR11; Moderation,MVP-Inner-Light,Backlog
FR12 - Estadísticas colectivas anónimas,Panel agregado de emociones de la comunidad (sin PII) para insights. Fuera del MVP.,Functional; Won't; FR12; Analytics,MVP-Inner-Light,Backlog
FR13 - Encuestas rápidas,Microencuestas para pulsos emocionales en la comunidad con resultados instantáneos. Fuera del MVP.,Functional; Won't; FR13; Surveys,MVP-Inner-Light,Backlog
NFR1 - Seguridad mínima de datos,Cifrado en tránsito (HTTPS) y en reposo (DB). Variables sensibles en .env. Sin datos PII en posts anónimos.,Non-Functional; Must; Security,MVP-Inner-Light,Ready
NFR2 - Disponibilidad básica,Disponibilidad >=95% durante el MVP. Health-check y manejo de errores de red visibles al usuario.,Non-Functional; Should; Reliability,MVP-Inner-Light,Backlog
NFR5 - Usabilidad mínima,"Interfaz clara y responsive. Flujo principal (registrar diario, ver sugerencia, reproducir meditación) en <=3 clics.",Non-Functional; Should; UX,MVP-Inner-Light,Backlog
NFR7 - Garantizar anonimato,"Generación de alias aleatorios, ocultar email/nombre y desasociar metadatos en comunidad. Logs sin PII.",Non-Functional; Must; Privacy,MVP-Inner-Light,Backlog
Extra1 - Reconocimiento de voz 24/7,Transcripción continua y detección de emociones por voz. Excluido en el MVP.,Functional; Won't; Voice,MVP-Inner-Light,Backlog
Extra2 - Gamificación con insignias,"Badges espirituales, rachas y misiones. Excluido en el MVP.",Functional; Won't; Gamification,MVP-Inner-Light,Backlog
Extra3 - AR/IoT/Wearables,Integraciones con wearables y realidad aumentada para biofeedback. Excluido en el MVP.,Functional; Won't; AR-IoT,MVP-Inner-Light,Backlog
